No,Kode,Name of Bank,Year, lnaudifee , crd , covid , crd*covid , crg , cause , impact ,LnBankSize,Leverage,NPL,Efficiency Ratio,Securities Investment,caratio,NetLoss,GOING CONCERN,BIG-4,initial,GDPG (%),,
1,BBRI,Bank Rakyat Indonesia (Persero) Tbk.,2015, 13.16 ,0.17,0.00,0.00,0.50,0.00,0.00,24.839,0.87,0.020,0.36,0.9925,0.21,0,0,1,1,4.8763,,
1,BBRI,Bank Rakyat Indonesia (Persero) Tbk.,2016, 13.17 ,0.17,0.00,0.00,0.50,0.00,0.00,24.996,0.85,0.020,0.38,0.9935,0.23,0,0,1,0,5.0331,,
1,BBRI,Bank Rakyat Indonesia (Persero) Tbk.,2017, 13.21 ,0.17,0.00,0.00,0.50,0.00,0.00,25.098,0.85,0.021,0.37,0.9942,0.23,0,0,1,0,5.0698,,
1,BBRI,Bank Rakyat Indonesia (Persero) Tbk.,2018, 13.26 ,0.17,0.00,0.00,0.50,0.00,0.00,25.169,0.85,0.021,0.37,0.9949,0.21,0,0,1,0,5.1743,,
1,BBRI,Bank Rakyat Indonesia (Persero) Tbk.,2019, 13.54 ,0.25,0.00,0.00,0.50,0.00,0.50,25.294,0.85,0.026,0.36,0.9955,0.23,0,0,1,0,5.0182,,
1,BBRI,Bank Rakyat Indonesia (Persero) Tbk.,2020, 13.88 ,0.50,1.00,0.50,1.00,0.00,1.00,25.336,0.86,0.029,0.42,0.9958,0.21,0,0,1,0,-2.0695,,
2,AGRS,Bank IBK Indonesia Tbk.,2020, 11.41 ,0.17,1.00,0.17,0.25,0.00,0.50,20.365,0.81,0.051,0.79,0.8898,0.30,1,0,0,1,-2.0695,,
3,BABP,Bank MNC Internasional Tbk.,2015, 10.83 ,0.17,0.00,0.00,0.50,0.00,0.00,20.595,0.86,0.030,0.37,0.8376,0.18,0,0,1,0,4.8763,,
3,BABP,Bank MNC Internasional Tbk.,2016, 10.98 ,0.17,0.00,0.00,0.50,0.00,0.00,20.695,0.86,0.028,0.39,0.8409,0.20,0,0,1,0,5.0331,,
3,BABP,Bank MNC Internasional Tbk.,2017, 11.22 ,0.17,0.00,0.00,0.50,0.00,0.00,20.488,0.88,0.072,0.54,0.7989,0.13,1,0,1,0,5.0698,,
